budget,id,popularity,revenue,runtime,vote_average,vote_count
237000000,19995,150.437577,2787965087,162.0,7.2,11800
300000000,285,139.082615,961000000,169.0,6.9,4500
245000000,206647,107.376788,880674609,148.0,6.3,4466
250000000,49026,112.31295,1084939099,165.0,7.6,9106
260000000,49529,43.926995,284139100,132.0,6.1,2124
258000000,559,115.699814,890871626,139.0,5.9,3576
260000000,38757,48.681969,591794936,100.0,7.4,3330
280000000,99861,134.279229,1405403694,141.0,7.3,6767
250000000,767,98.885637,933959197,153.0,7.4,5293
250000000,209112,155.790452,873260194,151.0,5.7,7004
270000000,1452,57.925623,391081192,154.0,5.4,1400
200000000,10764,107.928811,586090727,106.0,6.1,2965
200000000,58,145.847379,1065659812,151.0,7.0,5246
255000000,57201,49.046956,89289910,149.0,5.9,2311
225000000,49521,99.398009,662845518,143.0,6.5,6359
225000000,2454,53.978602,419651413,150.0,6.3,1630
220000000,24428,144.448633,1519557910,143.0,7.4,11776
380000000,1865,135.413856,1045713802,136.0,6.4,4948
225000000,41154,52.035179,624026776,106.0,6.2,4160
250000000,122917,120.965743,956019788,144.0,7.1,4760
215000000,1930,89.866276,752215857,136.0,6.5,6586
200000000,20662,37.668301,310669540,140.0,6.2,1398
250000000,57158,94.370564,958400000,161.0,7.6,4524
180000000,2268,42.990906,372234864,113.0,5.8,1303
207000000,254,61.22601,550000000,187.0,6.6,2337
200000000,597,100.025899,1845034188,194.0,7.5,7562
250000000,271110,198.372395,1153304495,147.0,7.1,7241
209000000,44833,64.928382,303025485,131.0,5.5,2114
150000000,135397,418.708552,1513528810,124.0,6.5,8662
200000000,37724,93.004993,1108561013,143.0,6.9,7604
200000000,558,35.149586,783766341,127.0,6.7,4321
200000000,68721,77.68208,1215439994,130.0,6.8,8806
200000000,12155,78.530105,1025491110,108.0,6.4,4645
210000000,36668,3.857526,459359555,104.0,6.3,3525
200000000,62211,89.186492,743559607,104.0,7.0,3528
150000000,8373,21.939663,836297228,150.0,6.0,3138
210000000,91314,116.840296,1091405097,165.0,5.8,3095
200000000,68728,46.985445,491868548,130.0,5.7,3530
200000000,102382,89.270217,705717432,142.0,6.5,4179
170000000,20526,73.79505,400062763,125.0,6.3,2841
200000000,49013,49.98659,559852396,106.0,5.8,2033
200000000,44912,51.872839,219851172,114.0,5.1,2487
200000000,10193,59.995418,1066969703,103.0,7.6,4597
200000000,534,71.862892,371353001,115.0,5.9,2463
190000000,168259,102.322217,1506249360,137.0,7.3,4176
200000000,72190,81.834855,531865000,116.0,6.7,5560
250000000,127585,118.078691,747862775,131.0,7.5,6032
190000000,54138,78.291018,467365246,132.0,7.4,4418
195000000,81005,43.349855,197687603,114.0,5.5,2598
105000000,64682,61.196071,351040419,143.0,7.3,3769
150000000,9543,62.169881,335154643,116.0,6.2,2317
180000000,68726,56.523205,407602906,131.0,6.7,4794
195000000,38356,28.529607,1123746996,154.0,6.1,3299
185000000,217,75.674458,786636033,122.0,5.7,2495
175000000,105864,51.692953,331926147,93.0,6.6,1736
185000000,62177,125.114374,538983207,93.0,6.7,4641
185000000,188927,65.352913,343471816,122.0,6.6,2568
180000000,10681,66.390712,521311860,98.0,7.8,6296
140000000,5174,22.57178,258022233,91.0,6.1,783
200000000,14161,45.274225,769653595,158.0,5.6,4903
200000000,17979,39.744242,325233863,96.0,6.6,1095
176000003,76757,85.36908,183987723,124.0,5.2,2768
180000000,258489,42.741719,356743061,109.0,5.5,2430
180000000,411,67.391328,748806957,143.0,6.7,2629
178000000,246655,139.272042,543934787,144.0,6.4,4721
185000000,155,187.322927,1004558444,152.0,8.2,12002
175000000,14160,92.201962,735099082,96.0,7.7,6870
175000000,15512,36.167578,381509870,94.0,6.0,1423
140000000,1726,120.725053,585174222,126.0,7.4,8776
170000000,44826,32.319043,185770160,126.0,7.0,2141
170000000,8487,40.748915,222104681,106.0,5.1,1020
145000000,1735,60.034162,401128639,112.0,5.2,1387
175000000,297761,90.23792,745000000,123.0,5.9,7458
175000000,2698,27.082182,173000000,96.0,5.3,1151
178000000,137113,79.456485,370541256,113.0,7.6,4858
175000000,9804,44.640292,264218220,135.0,5.9,992
175000000,14869,32.852443,302469017,118.0,5.6,1962
175000000,150540,128.655964,857611174,94.0,8.0,6560
175000000,278927,94.199316,966550600,106.0,6.7,2892
200000000,10138,77.300194,623933331,124.0,6.6,6849
170000000,58595,77.178973,396600000,127.0,5.8,3118
180000000,102651,110.620647,758539785,97.0,7.0,4496
170000000,119450,243.791743,710644566,130.0,7.3,4410
27000000,79698,2.418535,0,109.0,4.8,34
175000000,64686,41.796339,150962475,119.0,5.9,1326
170000000,100402,72.225265,714766572,136.0,7.6,5764
165000000,10192,44.041186,752600867,93.0,6.0,1959
190000000,158852,130.311355,209154322,130.0,6.2,2846
165000000,177572,203.73459,652105443,102.0,7.8,6135
165000000,82690,62.341073,471222889,108.0,7.1,4570
165000000,5255,47.323228,305875730,100.0,6.4,1474
165000000,47933,48.775723,389681935,120.0,4.9,2491
165000000,10191,67.263269,494878759,98.0,7.5,4227
200000000,296,69.405188,435000000,109.0,5.9,2143
170000000,118340,481.098624,773328629,121.0,7.9,9742
165000000,157336,724.247784,675120017,169.0,8.1,10867
160000000,27205,167.58371,825532764,148.0,8.1,13752
15000000,315011,9.476999,77000000,120.0,6.5,143
250000000,49051,108.849621,1021103568,169.0,7.0,8297
38000000,9799,6.909942,207283925,106.0,6.6,3428
150000000,4922,60.269279,333932083,166.0,7.3,3292
160000000,49538,3.195174,353624124,132.0,7.1,5181
160000000,131634,127.284427,653428261,137.0,6.6,3984
150000000,27022,35.580815,215283742,109.0,5.8,1470
160000000,503,21.133748,181674817,99.0,5.5,583
170000000,241259,56.268916,299370084,113.0,6.5,1725
160000000,810,42.986467,798958165,93.0,6.0,2278
160000000,68735,63.148529,433677183,123.0,6.3,2268
155000000,87101,202.042635,440603537,126.0,5.8,3631
155000000,10140,49.661984,415686217,113.0,6.2,1514
140000000,676,34.20669,449220945,183.0,6.6,1791
150000000,1858,25.468493,709709780,144.0,6.6,4040
155000000,1966,39.019229,167298192,175.0,5.6,927
150000000,675,78.144395,938212738,138.0,7.4,5494
150000000,674,101.250416,895921036,157.0,7.5,5608
150000000,8960,56.758411,624029371,92.0,6.2,2961
150000000,6479,70.867401,585349010,101.0,6.9,4853
150000000,118,53.905592,474968763,115.0,6.7,3624
150000000,2062,65.677399,623722818,111.0,7.5,4369
150000000,272,115.040024,374218673,140.0,7.5,7359
150000000,10527,44.141021,603900354,89.0,6.2,1810
150000000,18360,81.781591,413106170,105.0,5.9,1971
150000000,2080,5.954334,373062864,107.0,6.2,4021
150000000,605,73.313918,424988211,129.0,6.4,3096
150000000,109445,165.125366,1274219009,102.0,7.3,5295
150000000,604,70.78591,738599701,138.0,6.7,3443
170000000,76338,99.499595,644571402,112.0,6.8,4755
150000000,76341,434.278564,378858340,120.0,7.2,9427
150000000,13448,67.447636,356613439,138.0,6.5,2129
150000000,10195,86.493424,449326618,115.0,6.6,6525
150000000,13053,41.845878,309979994,98.0,6.3,1750
150000000,19585,26.710398,292817841,88.0,5.1,510
150000000,57165,44.927635,301000000,99.0,5.5,1431
150000000,62213,50.306728,245527149,113.0,5.7,2320
150000000,177677,114.522237,682330139,131.0,7.1,3224
150000000,7978,21.214571,0,102.0,5.5,549
150000000,5559,29.332905,287594577,91.0,5.7,1171
150000000,49444,51.247321,665692281,91.0,6.7,1880
150000000,10196,33.769336,318502923,103.0,4.7,1151
150000000,956,63.079003,397850012,126.0,6.5,2028
150000000,117251,39.004588,205366737,131.0,6.4,1891
150000000,50321,12.362599,38992758,88.0,5.5,199
149000000,11619,22.550135,64459316,85.0,6.0,874
150000000,266647,48.03528,128388320,111.0,5.9,954
145000000,82703,38.73494,272912430,92.0,6.7,843
175000000,652,66.803149,497409852,163.0,6.9,2759
145000000,80321,44.989192,746921274,93.0,6.4,1808
140000000,36669,54.159392,431971116,133.0,5.8,1092
144000000,43074,66.21806,229147509,116.0,5.3,2142
140000000,95,58.485967,553799566,151.0,6.4,2482
140000000,608,91.332849,441818803,88.0,6.0,3114
70000000,2310,35.601665,195735876,115.0,5.5,841
145000000,140300,56.747978,521170825,95.0,6.7,1603
145000000,56292,77.77477,694713380,133.0,6.8,3972
145000000,81188,61.788035,306941670,97.0,7.1,1922
100000000,7552,25.159168,202026112,90.0,5.9,627
140000000,616,52.341226,456758981,154.0,7.3,1895
140000000,147441,101.599427,268031828,150.0,5.6,1921
150000000,13475,73.616808,385680446,127.0,7.4,4518
139000000,557,82.502566,821708551,121.0,6.8,5265
145000000,82702,100.21391,609123048,102.0,7.6,3106
140000000,205584,56.257249,150680864,127.0,5.3,1277
